Country,Year,Tournament,Stage,Success Score,Domesticity_Index,Market Value (€M),Average Age,Players From Top 5 Leage,Squad Size,Top 5 League Ratio,FIFA Rank
Argentina,2022,World Cup,Winner,100,82.5,900.0,27.9,22,26,0.8461538461538461,3.0
France,2022,World Cup,Second,80,39.6,1320.0,26.6,26,26,1.0,4.0
Croatia,2022,World Cup,Semi Finalist,60,61.2,390.0,27.5,14,26,0.5384615384615384,12.0
Morocco,2022,World Cup,Semi Finalist,60,84.4,270.0,26.3,10,26,0.3846153846153846,22.0
Brazil,2022,World Cup,Quarter Finalist,40,86.3,1130.0,27.8,22,26,0.8461538461538461,1.0
Netherlands,2022,World Cup,Quarter Finalist,40,41.8,640.0,27.3,11,26,0.423076923076923,8.0
England,2022,World Cup,Quarter Finalist,40,31.6,1476.0,26.4,26,26,1.0,5.0
Portugal,2022,World Cup,Quarter Finalist,40,37.5,985.0,28.0,19,26,0.7307692307692307,9.0
France,2018,World Cup,Winner,100,41.6,1037.0,25.6,23,23,1.0,7.0
Croatia,2018,World Cup,Second,80,67.0,291.0,27.7,17,23,0.7391304347826086,18.0
Belgium,2018,World Cup,Semi Finalist,60,31.5,602.0,27.4,21,23,0.9130434782608696,3.0
England,2018,World Cup,Semi Finalist,60,32.0,668.0,26.0,23,23,1.0,13.0
Brazil,2018,World Cup,Quarter Finalist,40,90.4,948.0,28.1,17,23,0.7391304347826086,2.0
Uruguay,2018,World Cup,Quarter Finalist,40,92.0,280.0,28.0,12,23,0.5217391304347825,17.0
Russia,2018,World Cup,Quarter Finalist,40,55.4,88.0,28.3,0,23,0.0,66.0
Sweden,2018,World Cup,Quarter Finalist,40,62.5,160.0,27.9,12,23,0.5217391304347825,23.0
Germany,2014,World Cup,Winner,100,47.4,562.0,24.9,21,23,0.9130434782608696,2.0
Argentina,2014,World Cup,Second,80,89.3,380.0,28.4,15,23,0.6521739130434782,5.0
Netherlands,2014,World Cup,Semi Finalist,60,55.9,300.0,27.3,16,23,0.6956521739130433,15.0
Brazil,2014,World Cup,Semi Finalist,60,91.2,480.0,27.0,11,23,0.4782608695652174,3.0
Colombia,2014,World Cup,Quarter Finalist,40,89.7,180.0,26.5,13,23,0.5652173913043477,8.0
Belgium,2014,World Cup,Quarter Finalist,40,45.8,270.0,26.2,21,23,0.9130434782608696,11.0
France,2014,World Cup,Quarter Finalist,40,43.5,530.0,26.1,19,23,0.8260869565217391,17.0
Costa Rica,2014,World Cup,Quarter Finalist,40,94.7,38.0,27.8,5,23,0.217391304347826,28.0
Spain,2010,World Cup,Winner,100,64.0,420.0,25.4,22,23,0.9565217391304348,2.0
Netherlands,2010,World Cup,Second,80,52.3,260.0,27.1,17,23,0.7391304347826086,4.0
Germany,2010,World Cup,Semi Finalist,60,42.6,400.0,23.9,20,23,0.8695652173913043,6.0
Uruguay,2010,World Cup,Semi Finalist,60,87.8,110.0,27.6,9,23,0.391304347826087,16.0
Argentina,2010,World Cup,Quarter Finalist,40,89.1,340.0,26.5,16,23,0.6956521739130433,7.0
Brazil,2010,World Cup,Quarter Finalist,40,94.3,450.0,27.3,10,23,0.4347826086956521,1.0
Ghana,2010,World Cup,Quarter Finalist,40,97.0,55.0,25.8,11,23,0.4782608695652174,32.0
Paraguay,2010,World Cup,Quarter Finalist,40,90.0,42.0,28.1,7,23,0.3043478260869565,31.0
Italy,2006,World Cup,Winner,100,59.6,550.0,29.6,21,23,0.9130434782608696,13.0
France,2006,World Cup,Second,80,51.6,350.0,30.2,18,23,0.782608695652174,8.0
Germany,2006,World Cup,Semi Finalist,60,45.7,206.0,26.8,17,23,0.7391304347826086,19.0
Portugal,2006,World Cup,Semi Finalist,60,49.8,282.0,29.3,17,23,0.7391304347826086,7.0
Brazil,2006,World Cup,Quarter Finalist,40,96.7,464.0,29.5,14,23,0.608695652173913,1.0
England,2006,World Cup,Quarter Finalist,40,37.4,440.0,26.7,18,23,0.782608695652174,10.0
Argentina,2006,World Cup,Quarter Finalist,40,88.5,250.0,27.7,17,23,0.7391304347826086,9.0
Ukraine,2006,World Cup,Quarter Finalist,40,64.1,74.0,27.7,7,23,0.3043478260869565,45.0
Brazil,2002,World Cup,Winner,100,97.3,220.0,26.8,11,23,0.4782608695652174,2.0
Germany,2002,World Cup,Second,80,47.6,175.0,27.5,18,23,0.782608695652174,11.0
Turkey,2002,World Cup,Semi Finalist,60,73.2,60.0,27.2,7,23,0.3043478260869565,22.0
South Korea,2002,World Cup,Semi Finalist,60,79.9,28.0,26.3,3,23,0.1304347826086956,40.0
Spain,2002,World Cup,Quarter Finalist,40,65.5,185.0,27.6,22,23,0.9565217391304348,8.0
England,2002,World Cup,Quarter Finalist,40,41.4,190.0,27.4,18,23,0.782608695652174,12.0
Senegal,2002,World Cup,Quarter Finalist,40,95.0,30.0,25.9,11,23,0.4782608695652174,42.0
USA,2002,World Cup,Quarter Finalist,40,70.7,55.0,27.1,8,23,0.3478260869565217,13.0
France,1998,World Cup,Winner,100,73.9,,26.7,15,22,0.6818181818181817,18.0
Brazil,1998,World Cup,Second,80,96.0,,29.3,10,22,0.4545454545454545,1.0
Croatia,1998,World Cup,Semi Finalist,60,84.2,,29.3,12,22,0.5454545454545454,19.0
Netherlands,1998,World Cup,Semi Finalist,60,69.2,,26.6,17,22,0.7727272727272727,25.0
